humanGene,EnsNum,x00511204,x7d9d7119,x93904035,a154c740,a6f657a3,bfe796aa,cbf61237,d578e27f,e1f960fc,e29ce54a
RNF4,ENSG00000063978.14,5.7307539612,12.3923203444,309284.318293,0,208330.208498,0,10.6982109572,16.9088813258,15.1438393572,12.2579567105
FANCI (KIAA1794),ENSG00000140525.16,0.419308504654,11.8592165859,47674.5404278,17375,260241.968535,15571,5.41627737805,6.49557883752,12.9975579246,8.46373492121
RIF1,ENSG00000080345.16,2.78660346432,6.27833448776,89025.3478442,0,276305.812612,0,4.67443893012,3.13924447791,3.85131094697,3.15849552593
PRDX5,ENSG00000126432.12,93.2045676016,80.0170871401,3475035.17674,10,1748615.66729,8,147.099252838,253.178831464,214.009160458,186.340129483
PRRC2C,ENSG00000117523.14,8.26317986474,35.236834398,412109.327483,2,897633.71511,0,24.2798486316,10.4622911272,26.4766748401,27.4240567913
PPP2R5A,ENSG00000066027.10,76.9092053213,22.806757393,343562.942879,0,769120.476927,0,29.7537372315,19.104107686,34.1731814956,38.2631660158
RAD54B,ENSG00000197275.11,0.137881604232,1.04246370374,13735.6093412,0,58990.3719922,2,0.305518707753,0.993270403189,0.687133592711,0.960561830733
RPA2,ENSG00000117748.8,13.8288624718,29.551302052,373952.461635,1,751678.807582,1,32.4518982353,20.7853731188,19.0289580359,28.3512950593
CHAF1B,ENSG00000159259.7,0.499261799458,5.07126993365,40918.1003664,0,167440.326198,0,2.73050488362,6.65127099563,1.52085639304,5.48398995297
DCLRE1C (Artemis),ENSG00000152457.16,1.11817926973,4.39766532208,31995.7018051,14,53699.800674,4,1.68969336043,1.39123998583,2.29944597913,1.62118964037
CCS,ENSG00000173992.7,6.74488495916,6.01122009889,277839.42987,1,82759.350225,0,11.5662534503,13.1739136795,15.0477271773,19.2822518994
PRKD2,ENSG00000105287.11,4.58034790055,11.6252663563,238725.707014,0,178509.298949,0,11.0788314897,13.007196016,5.33159340931,15.4718054447
POLL,ENSG00000166169.15,3.69105493011,3.65848918196,114805.256269,0,45018.9235696,0,5.21044060367,6.77242502796,2.6670706182,7.40747637449
EXO1,ENSG00000174371.15,0.0263440456395,4.49596717916,17547.171638,0,405747.521792,0,2.07957202297,1.48203996484,5.85416933909,4.02077310005
RECQL4,ENSG00000160957.11,0.187585383661,2.77520562423,68361.4632476,1,83465.5274652,0,2.41536693886,9.59441526638,9.0804656589,11.6468062302
HDAC8,ENSG00000147099.18,2.10580250404,2.46416617581,61845.1999742,0,38922.6580312,0,4.18826862158,4.48285285698,3.73367142186,4.2537585114
CDK7,ENSG00000134058.9,5.37173962217,6.18692947016,219744.988116,1,244377.08636,0,10.6486008507,15.3443455033,17.1676001887,13.6342389942
MAD2L2,ENSG00000116670.13,2.60145752389,11.2241964874,292251.169005,198,319329.015406,94,7.45743035914,10.7738070677,6.36622809091,7.88279113451
H2AFX,ENSG00000188486.3,2.68365100083,17.9677379945,283094.069179,0,410297.008297,0,16.0112443239,43.3128898304,13.7789750745,39.3285199029
ERCC6 (CSB),ENSG00000225830.9,0.42314617983,2.10670726726,17431.1601178,0,26780.70219,0,1.31407447112,1.1867444901,0.963561083621,0.830639147085
FANCB,ENSG00000181544.12,0.0193849098329,1.7732008609,3739.98385574,22,23143.5990491,3,0.439847270799,0.389478240037,0.857609671209,0.289994222111
HLTF,ENSG00000071794.14,7.86790337455,21.6779886165,124086.153715,1,436909.620445,0,12.3310611986,7.18615431361,19.1784057708,7.15164030899
PRDX1,ENSG00000117450.12,89.0716069262,245.660245784,3101143.15359,4,3387224.70265,0,206.071650791,385.065975074,273.368700061,215.292804483
UBR2,ENSG00000024048.9,7.44838297757,11.9431767582,145256.576501,1,204331.004618,2,10.8526684758,6.77686787689,9.92567655144,8.08363336448
CHTF18,ENSG00000127586.15,0.276532324917,0.913753582469,60296.3872302,2,47272.89602,0,1.66853198147,6.03831876223,5.5294361896,12.5878925793
RAD50,ENSG00000113522.12,7.80067539586,7.01341920407,126442.630425,0,119083.654561,0,11.5992912959,17.4140170137,25.8970143814,11.3527802574
TOPBP1,ENSG00000163781.11,3.91010219338,16.4317813372,126577.022041,0,1232543.2453,0,8.07782593931,9.37379028052,10.4287377192,8.90532733355
DSCC1,ENSG00000136982.5,0.80207577844,5.73145234594,34452.3083816,0,142431.994267,0,1.78424030656,3.53915185218,4.26749378445,2.82063387041
ATRX,ENSG00000085224.19,5.70989714734,6.93254953795,75124.0150816,9,132998.861837,0,7.60836773706,5.25101586788,7.98545707008,4.12012061427
RRM2B (p53R2),ENSG00000048392.10,4.86683790107,11.6795920023,154237.819547,0,329505.214969,0,10.7527017722,17.5012682986,6.48725694707,5.86418204513
BRCA1,ENSG00000012048.18,0.60361189001,0.476034872689,16108.1080589,3,4926.28140523,3,3.65417487941,4.14383064331,3.0512744134,3.16223332462
SLC25A40,ENSG00000075303.11,1.53322390063,4.65522098878,51076.3704145,32,110790.189312,0,5.29886356833,2.7707138368,7.4720731564,5.26779793344
UBE2B,ENSG00000119048.6,21.2617958555,14.5537845141,422449.274118,7,333289.869216,0,18.0343316729,46.0983432145,21.1657725403,18.0602030646
PRDX4,ENSG00000123131.11,24.8357067118,68.8218050307,863860.073087,0,764199.201169,0,25.914554726,39.9007861996,66.1545214465,34.0932643918
SMG5,ENSG00000198952.8,15.8978737477,47.2430860026,639948.826764,18,1242578.24707,9,23.161246475,33.8033973973,30.6596828172,43.9081109179
APLF (C2ORF13),ENSG00000169621.8,0.749005339653,0.815538976503,10883.7155741,0,17728.2888021,0,0.15544570132,0.330937582355,0.734703944755,0.620683148481
WDR73,ENSG00000177082.11,0.341524110711,0.843595706813,19829.8112951,8,16525.6940558,2,0.731645257752,1.06110017708,0.970104125353,1.29544284201
BRSK2,ENSG00000174672.14,0.0225707971581,2.2330429872,2540.21007392,3,780.540239776,1,0.0160670009984,0.0233222674934,1.90835303485,0.0253240825752
LIG3,ENSG00000005156.10,0.701905842861,4.42280675674,68757.3769724,0,145297.678271,1,5.80672612239,7.26936609869,4.19117611362,6.10717135718
FANCD2,ENSG00000144554.9,0.18597065264,3.85872168975,32112.4464254,6,292405.764755,11,2.11647379436,3.20057061017,6.60776874886,3.27590192129
